;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
1;0.0367647058823529;0.0367647058823529;0.0514705882352941;0.0514705882352941;0.0367647058823529;0.0514705882352941;0.0367647058823529;0.0514705882352941;0.0367647058823529;0.0367647058823529;0.0367647058823529;0.0514705882352941;0.0514705882352941;0.0367647058823529;0.0955882352941176;0.0661764705882353;0.0661764705882353;0.0367647058823529;0.0514705882352941;0.0808823529411765
2;0.0507246376811594;0.036231884057971;0.036231884057971;0.0507246376811594;0.036231884057971;0.036231884057971;0.0942028985507246;0.0507246376811594;0.0507246376811594;0.0507246376811594;0.036231884057971;0.036231884057971;0.0507246376811594;0.036231884057971;0.0652173913043478;0.0942028985507246;0.0507246376811594;0.0652173913043478;0.036231884057971;0.036231884057971
3;0.0431034482758621;0.0603448275862069;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0948275862068965;0.112068965517241;0.0431034482758621;0.0431034482758621;0.0431034482758621;0.0431034482758621
4;0.0423728813559322;0.0423728813559322;0.0593220338983051;0.0932203389830508;0.0423728813559322;0.0593220338983051;0.0593220338983051;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0932203389830508;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0423728813559322;0.0423728813559322
5;0.0546875;0.0390625;0.1015625;0.0390625;0.0390625;0.0546875;0.0390625;0.0390625;0.0546875;0.0390625;0.0390625;0.0546875;0.0390625;0.0390625;0.0546875;0.0390625;0.0390625;0.0390625;0.1171875;0.0390625
6;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0625;0.0347222222222222;0.0625;0.0486111111111111;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0625;0.173611111111111;0.0486111111111111;0.0902777777777778;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0347222222222222
7;0.0294117647058824;0.0294117647058824;0.0882352941176471;0.0294117647058824;0.0411764705882353;0.0294117647058824;0.111764705882353;0.0529411764705882;0.0294117647058824;0.0882352941176471;0.0294117647058824;0.0294117647058824;0.182352941176471;0.0411764705882353;0.0294117647058824;0.0411764705882353;0.0294117647058824;0.0294117647058824;0.0294117647058824;0.0294117647058824
8;0.0390625;0.0703125;0.0546875;0.0546875;0.0546875;0.0390625;0.0703125;0.0390625;0.0390625;0.0390625;0.0703125;0.0390625;0.0703125;0.0390625;0.0390625;0.0546875;0.0390625;0.0703125;0.0390625;0.0390625
9;0.0390625;0.0390625;0.0546875;0.0390625;0.0390625;0.0390625;0.0546875;0.0390625;0.0390625;0.0390625;0.1015625;0.0390625;0.0546875;0.0703125;0.0390625;0.0390625;0.0859375;0.0390625;0.0546875;0.0546875
10;0.0347222222222222;0.0347222222222222;0.0486111111111111;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0486111111111111;0.0763888888888889;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.0347222222222222;0.159722222222222;0.0763888888888889;0.0347222222222222;0.0625;0.0625;0.0347222222222222;0.0347222222222222;0.0486111111111111
